title,description,url,wikidata_id,inserted_at,updated_at
Albatross (metaphor),Metaphor,https://en.m.wikipedia.org/wiki/Albatross_(metaphor),Q4709452,2020-05-30 20:45:25,2020-05-30 20:45:25
Astroturfing,"Marketing tactic of creating ""grassroots"" organizations",https://en.m.wikipedia.org/wiki/Astroturfing,Q752177,2020-05-30 20:45:25,2020-05-30 20:45:25
Attention economy,economic view of human attention as a commodity,https://en.m.wikipedia.org/wiki/Attention_economy,Q295287,2020-05-30 20:45:25,2020-05-30 20:45:25
Autodidacticism,Independent education without the guidance of masters,https://en.m.wikipedia.org/wiki/Autodidacticism,Q207650,2020-05-30 20:45:25,2020-05-30 20:45:25
Bright-line rule,Judicial test using clearly defined and objective factors,https://en.m.wikipedia.org/wiki/Bright-line_rule,Q4967356,2020-05-30 20:45:25,2020-05-30 20:45:25
Café de olla,Mexican coffee drink,https://en.m.wikipedia.org/wiki/Caf%C3%A9_de_olla,Q5739217,2020-05-30 20:45:25,2020-05-30 20:45:25
Cargo cult programming,Ritual inclusion of computer code that serve no purpose,https://en.m.wikipedia.org/wiki/Cargo_cult_programming,Q1027351,2020-05-30 20:45:25,2020-05-30 20:45:25
Clever Hans,Early 20th-century horse claimed to have been able to do mathematics,https://en.m.wikipedia.org/wiki/Clever_Hans,Q1127291,2020-05-30 20:45:25,2020-05-30 20:45:25
Conscientiousness,Personality trait of being orderly and following the rules,https://en.m.wikipedia.org/wiki/Conscientiousness,Q1307067,2020-05-30 20:45:25,2020-05-30 20:45:25
Cumbia,Folkloric genre and dance from Colombia.,https://en.m.wikipedia.org/wiki/Cumbia,Q723418,2020-05-30 20:45:25,2020-05-30 20:45:25
Decoy effect,Phenomenon in marketing,https://en.m.wikipedia.org/wiki/Decoy_effect,Q205154,2020-05-30 20:45:25,2020-05-30 20:45:25
Double bind,Psychological dilemma,https://en.m.wikipedia.org/wiki/Double_bind,Q1242876,2020-05-30 20:45:25,2020-05-30 20:45:25
Dutch auction,"Type of auction which begins with a high asking price, and lowers it.",https://en.m.wikipedia.org/wiki/Dutch_auction,Q727746,2020-05-30 20:45:25,2020-05-30 20:45:25
Exceptionalism,"belief that a species, country, society, institution, movement, individual, or time period is ""exceptional",https://en.m.wikipedia.org/wiki/Exceptionalism,Q1076085,2020-05-30 20:45:25,2020-05-30 20:45:25
False consensus effect,Attributional type of cognitive bias,https://en.m.wikipedia.org/wiki/False_consensus_effect,Q908850,2020-05-30 20:45:25,2020-05-30 20:45:25
Falsifiability,Possibility of a statement to be proven wrong by observation,https://en.m.wikipedia.org/wiki/Falsifiability,Q220888,2020-05-30 20:45:25,2020-05-30 20:45:25
Faust,Protagonist of a classic German legend,https://en.m.wikipedia.org/wiki/Faust,Q332885,2020-05-30 20:45:25,2020-05-30 20:45:25
Fermat's principle,Principle of least time,https://en.m.wikipedia.org/wiki/Fermat's_principle,Q331041,2020-05-30 20:45:25,2020-05-30 20:45:25
Florida Man,Internet meme about weird conduct by men from Florida,https://en.m.wikipedia.org/wiki/Florida_Man,Q19879826,2020-05-30 20:45:25,2020-05-30 20:45:25
Hedonic treadmill,Psychological concept,https://en.m.wikipedia.org/wiki/Hedonic_treadmill,Q5697619,2020-05-30 20:45:25,2020-05-30 20:45:25
History of Chinese Americans,History of ethnic Chinese in the United States,https://en.m.wikipedia.org/wiki/History_of_Chinese_Americans,Q1516704,2020-05-30 20:45:25,2020-05-30 20:45:25
Homomorphic encryption,A form of encryption that allows computation on ciphertexts,https://en.m.wikipedia.org/wiki/Homomorphic_encryption,Q2154943,2020-05-30 20:45:25,2020-05-30 20:45:25
Inflection point,Point where a curve crosses its tangent and the curvature changes of sign,https://en.m.wikipedia.org/wiki/Inflection_point,Q212794,2020-05-30 20:45:25,2020-05-30 20:45:25
Kayfabe,"In professional wrestling, the portrayal of staged events as if they were true",https://en.m.wikipedia.org/wiki/Kayfabe,Q387294,2020-05-30 20:45:25,2020-05-30 20:45:25
Law of triviality,Focusing on what is irrelevant but easy to understand,https://en.wikipedia.org/wiki/Law_of_triviality,Q169899,2020-05-30 20:45:25,2020-05-30 20:45:25
Chauvet Cave,Cave in France with best-preserved cave paintings,http://en.m.wikipedia.org/wiki/Chauvet_Cave,Q374096,2020-05-30 20:45:25,2020-05-30 20:45:25
Linguistic relativity,linguistic hypothesis,https://en.m.wikipedia.org/wiki/Linguistic_relativity,Q179677,2020-05-30 20:45:25,2020-05-30 20:45:25
Nothing to hide argument,Argument that one doesn't need privacy unless someone is doing something wrong,https://en.m.wikipedia.org/wiki/Nothing_to_hide_argument,Q15627872,2020-05-30 20:45:25,2020-05-30 20:45:25
Ontology,"Study of the nature of being, becoming, existence or reality, as well as the basic categories of being and their relations",https://en.m.wikipedia.org/wiki/Ontology,Q44325,2020-05-30 20:45:25,2020-05-30 20:45:25
Overton window,Range of ideas tolerated in public discourse,https://en.m.wikipedia.org/wiki/Overton_window,Q542950,2020-05-30 20:45:25,2020-05-30 20:45:25
Peter principle,Concept that people in a hierarchy are promoted until no longer competent,https://en.m.wikipedia.org/wiki/Peter_principle,Q497359,2020-05-30 20:45:25,2020-05-30 20:45:25
Prisoner's dilemma,Canonical example of a game analyzed in game theory,https://en.m.wikipedia.org/wiki/Prisoner's_dilemma,Q41693,2020-05-30 20:45:25,2020-05-30 20:45:25
Rubric (academic),Scoring guide for assessment,https://en.m.wikipedia.org/wiki/Rubric_(academic),Q847349,2020-05-30 20:45:25,2020-05-30 20:45:25
Scientific management,Theory of management,https://en.m.wikipedia.org/wiki/Scientific_management,Q203549,2020-05-30 20:45:25,2020-05-30 20:45:25
Slavoj Žižek,Slovene philosopher,https://en.m.wikipedia.org/wiki/Slavoj_%C5%BDi%C5%BEek,Q184750,2020-05-30 20:45:25,2020-05-30 20:45:25
Socratic method,Type of dialog or debate,https://en.m.wikipedia.org/wiki/Socratic_method,Q839475,2020-05-30 20:45:25,2020-05-30 20:45:25
Teetotalism,Abstinence from alcoholic beverages,https://en.m.wikipedia.org/wiki/Teetotalism,Q15131448,2020-05-30 20:45:25,2020-05-30 20:45:25
Terror management theory,Social and evolutionary psychology theory,https://en.m.wikipedia.org/wiki/Terror_management_theory,Q1474856,2020-05-30 20:45:25,2020-05-30 20:45:25
The Myth of Sisyphus,1942 book by Albert Camus,https://en.m.wikipedia.org/wiki/The_Myth_of_Sisyphus,Q1125903,2020-05-30 20:45:25,2020-05-30 20:45:25
Theory of mind,Ability to attribute mental states to oneself and others,https://en.m.wikipedia.org/wiki/Theory_of_mind,Q639219,2020-05-30 20:45:25,2020-05-30 20:45:25
Trolley problem,Thought experiment in ethics,https://en.m.wikipedia.org/wiki/Trolley_problem,Q1753199,2020-05-30 20:45:25,2020-05-30 20:45:25
Universal Darwinism,An attempt to expand the application of Darwinian evolutionary theory to other fields,https://en.m.wikipedia.org/wiki/Universal_Darwinism,Q7893935,2020-05-30 20:45:25,2020-05-30 20:45:25
Wim Hof,Dutch extreme athlete,https://en.m.wikipedia.org/wiki/Wim_Hof,Q926482,2020-05-30 20:45:25,2020-05-30 20:45:25
A Modest Proposal,1729 satirical essay by Jonathan Swift,https://en.wikipedia.org/wiki/A_Modest_Proposal,Q264143,2020-05-30 20:45:25,2020-05-30 20:45:25
Dialectic,Discourse method for resolving disagreement by reasoned argument,https://en.wikipedia.org/wiki/Dialectic,Q9453,2020-05-30 20:45:25,2020-05-30 20:45:25
Divide and rule,Strategy in politics and sociology,https://en.wikipedia.org/wiki/Divide_and_rule,Q68951,2020-05-30 20:45:25,2020-05-30 20:45:25
Epistemology,Branch of philosophy concerned with the nature and scope of knowledge,https://en.wikipedia.org/wiki/Epistemology,Q9471,2020-05-30 20:45:25,2020-05-30 20:45:25
Autodidacticism,Independent education without the guidance of masters,https://en.wikipedia.org/wiki/Autodidacticism,Q207650,2020-05-30 20:45:25,2020-05-30 20:45:25
Thomas Hobbes,17th-century English philosopher,https://en.wikipedia.org/wiki/Thomas_Hobbes,Q37621,2020-05-30 20:45:25,2020-05-30 20:45:25
Conflict,Disambiguation page providing links to topics that could be referred to by the same search term,https://en.wikipedia.org/wiki/Conflict_,Q400889,2020-05-30 20:45:25,2020-05-30 20:45:25
FIDO Alliance,Industry consortium working on authentication mechanisms,https://en.m.wikipedia.org/wiki/FIDO_Alliance,Q15731702,2020-05-30 20:45:25,2020-05-30 20:45:25
Max Müller,German-born philologist and orientalist,https://en.wikipedia.org/wiki/Max_M%C3%BCller,Q55068911,2020-05-30 20:45:25,2020-05-30 20:45:25
Big Five personality traits,Personality model consisting of five broad dimensions of personality,https://en.wikipedia.org/wiki/Big_Five_personality_traits,Q378132,2020-05-30 20:45:25,2020-05-30 20:45:25
Critical thinking,The analysis of facts to form a judgment,https://en.wikipedia.org/wiki/Critical_thinking,Q843894,2020-05-30 20:45:25,2020-05-30 20:45:25
Law of triviality,Focusing on what is irrelevant but easy to understand,https://en.wikipedia.org/wiki/Law_of_triviality,Q169899,2020-05-30 20:45:25,2020-05-30 20:45:25
Power distance,strength of social hierarchy,https://en.wikipedia.org/wiki/Power_distance,Q11900227,2020-05-30 20:45:25,2020-05-30 20:45:25
Neoliberalism,Political philosophy that supports economic liberalization,https://en.wikipedia.org/wiki/Neoliberalism,Q162719,2020-05-30 20:45:25,2020-05-30 20:45:25
Epistemology,Branch of philosophy concerned with the nature and scope of knowledge,https://en.wikipedia.org/wiki/Epistemology,Q9471,2020-05-30 20:45:25,2020-05-30 20:45:25
German Question,Mid-19th century debate about unification of Germany,https://en.m.wikipedia.org/wiki/German_Question,Q13522713,2020-05-30 20:45:25,2020-05-30 20:45:25
P versus NP problem,Unsolved problem in computer science,https://en.wikipedia.org/wiki/P_versus_NP_problem,Q746242,2020-05-30 20:45:25,2020-05-30 20:45:25
2 + 2 = 5,Example of Party logic presented in Nineteen Eighty-Four,https://en.wikipedia.org/wiki/2_%2B_2_%3D_5,Q1097227,2020-05-30 20:45:25,2020-05-30 20:45:25
SOLID,Object-oriented programming design principles,https://en.wikipedia.org/wiki/SOLID,Q2583627,2020-05-30 20:45:25,2020-05-30 20:45:25
Middle Way,Buddhist doctrine,https://en.wikipedia.org/wiki/Middle_Way,Q833475,2020-05-30 20:45:25,2020-05-30 20:45:25
Metcalfe,Disambiguation page providing links to topics that could be referred to by the same search term,https://en.wikipedia.org/wiki/Metcalfe,Q421244,2020-05-30 20:45:25,2020-05-30 20:45:25
Effective altruism,Philosophy and social movement that applies evidence and reason to determine the most effective ways to benefit others,https://en.wikipedia.org/wiki/Effective_altruism,Q13489381,2020-05-30 20:45:25,2020-05-30 20:45:25
Attribution bias,The systematic errors made when people evaluate their own and others' behaviors,https://en.wikipedia.org/wiki/Attribution_bias,Q849538,2020-05-30 20:45:25,2020-05-30 20:45:25
Hemingway Special,"Cocktail made of rum, maraschino, grapefruit juice, and lime juice",https://en.m.wikipedia.org/wiki/Hemingway_Special,Q26879521,2020-05-30 20:45:25,2020-05-30 20:45:25
Sacred geometry,Symbolic and sacred meanings ascibed to certain geometric shapes,https://en.wikipedia.org/wiki/Sacred_geometry,Q583915,2020-05-30 20:45:25,2020-05-30 20:45:25
Project Cybersyn,Chilean economic project,https://en.wikipedia.org/wiki/Project_Cybersyn,Q1147211,2020-05-30 20:45:25,2020-05-30 20:45:25
Flynn effect,20th century rise in overall human intelligence,https://en.wikipedia.org/wiki/Flynn_effect,Q508736,2020-05-30 20:45:25,2020-05-30 20:45:25
Osborne effect,The drop in sales of a company prematurely announcing a future product,https://en.wikipedia.org/wiki/Osborne_effect,Q2634790,2020-05-30 20:45:25,2020-05-30 20:45:25
Letter and spirit of the law,Concepts in philosophy of law,https://en.wikipedia.org/wiki/Letter_and_spirit_of_the_law,Q6533542,2020-05-30 20:45:25,2020-05-30 20:45:25
Syd Mead,American concept artist,https://en.wikipedia.org/wiki/Syd_Mead,Q940474,2020-05-30 20:45:25,2020-05-30 20:45:25
Synaptic pruning,Process of synapse elimination that occurs between early childhood and the onset of puberty,https://en.wikipedia.org/wiki/Synaptic_pruning,Q2124069,2020-05-30 20:45:25,2020-05-30 20:45:25
Positive psychology,Scientific study of the positive aspects of the human experience that make life worth living,https://en.m.wikipedia.org/wiki/Positive_psychology,Q718809,2020-05-30 20:45:25,2020-05-30 20:45:25
Nicene Creed,Statement of belief adopted at the First Ecumenical Council in 325,https://en.wikipedia.org/wiki/Nicene_Creed,Q207937,2020-05-30 20:45:25,2020-05-30 20:45:25
Conway's law,Adage stating that organizations design systems that mirror their own communication structure,https://en.wikipedia.org/wiki/Conway%27s_law,Q1518855,2020-05-30 20:45:25,2020-05-30 20:45:25
First,Disambiguation page providing links to topics that could be referred to by the same search term,https://en.wikipedia.org/wiki/First,Q351401,2020-05-30 20:45:25,2020-05-30 20:45:25
Pumpkin ale,Style of beer,https://en.wikipedia.org/wiki/Pumpkin_ale,Q16878201,2020-05-30 20:45:25,2020-05-30 20:45:25
Folk devil,A person or group of people who are portrayed in folklore or the media as outsiders and deviant,https://en.wikipedia.org/wiki/Folk_devil,Q5464460,2020-05-30 20:45:25,2020-05-30 20:45:25
Social stratification,population with similar characteristics in a society,https://en.wikipedia.org/wiki/Social_stratification,Q841628,2020-05-30 20:45:25,2020-05-30 20:45:25
Systems theory,Interdisciplinary study of systems,https://en.wikipedia.org/wiki/Systems_theory,Q269699,2020-05-30 20:45:25,2020-05-30 20:45:25
Reactance (psychology),unpleasant emotion experienced when behavioral freedom is threatened,https://en.m.wikipedia.org/wiki/Reactance_(psychology),Q746935,2020-05-30 20:45:25,2020-05-30 20:45:25
Enneagram of Personality,Of Oscar Ichazo and Claudio Naranjo,https://en.wikipedia.org/wiki/Enneagram_of_Personality,Q273047,2020-05-30 20:45:25,2020-05-30 20:45:25
List,Disambiguation page providing links to topics that could be referred to by the same search term,https://en.wikipedia.org/wiki/List_,Q162032,2020-05-30 20:45:25,2020-05-30 20:45:25
Seattle Freeze,"cultural label of Seattle, WA as a place it's hard to make friends",https://en.wikipedia.org/wiki/Seattle_Freeze,Q7442101,2020-05-30 20:45:25,2020-05-30 20:45:25
Slavoj Žižek,Slovene philosopher,https://en.wikipedia.org/wiki/Slavoj_%C5%BDi%C5%BEek,Q184750,2020-05-30 20:45:25,2020-05-30 20:45:25
Disinformation,False information spread deliberately to deceive,https://en.wikipedia.org/wiki/Disinformation,Q189656,2020-05-30 20:45:25,2020-05-30 20:45:25
Flow,Disambiguation page providing links to topics that could be referred to by the same search term,https://en.wikipedia.org/wiki/Flow_,Q8961886,2020-05-30 20:45:25,2020-05-30 20:45:25
Stanford marshmallow experiment,Study on delayed gratification by psychologist Walter Mischel,https://en.m.wikipedia.org/wiki/Stanford_marshmallow_experiment,Q1523836,2020-05-30 20:45:25,2020-05-30 20:45:25
Scientific method,"Interplay between observation, experiment and theory in science",https://en.wikipedia.org/wiki/Scientific_method,Q46857,2020-05-30 20:45:25,2020-05-30 20:45:25
Bus factor,A measurement of the risk of losing key technical experts,https://en.wikipedia.org/wiki/Bus_factor,Q1812883,2020-05-30 20:45:25,2020-05-30 20:45:25
Theory of mind,Ability to attribute mental states to oneself and others,https://en.wikipedia.org/wiki/Theory_of_mind,Q639219,2020-05-30 20:45:25,2020-05-30 20:45:25
Working memory,Cognitive system for temporarily holding information,https://en.wikipedia.org/wiki/Working_memory,Q11337567,2020-05-30 20:45:25,2020-05-30 20:45:25
Psychometrics,theory and technique of psychological measurement,https://en.wikipedia.org/wiki/Psychometrics,Q506132,2020-05-30 20:45:25,2020-05-30 20:45:25
Unit testing,Software testing method by which individual units of source code are validated,https://en.wikipedia.org/wiki/Unit_testing,Q907375,2020-05-30 20:45:25,2020-05-30 20:45:25
The Emperor's New Clothes,Fairytale by Hans Christian Andersen,https://en.m.wikipedia.org/wiki/The_Emperor's_New_Clothes,Q11866,2020-05-30 20:45:25,2020-05-30 20:45:25
Mental model,Explanation of someone's thought process about how something works in the real world,https://en.wikipedia.org/wiki/Mental_model,Q1851867,2020-05-30 20:45:25,2020-05-30 20:45:25
Volstead Act,An act to prohibit intoxicating beverages in the USA,https://en.wikipedia.org/wiki/Volstead_Act,Q1613068,2020-05-30 20:45:25,2020-05-30 20:45:25
Thomas Crapper,British plumber,https://en.wikipedia.org/wiki/Thomas_Crapper,Q2987116,2020-05-30 20:45:25,2020-05-30 20:45:25
Set,Disambiguation page providing links to topics that could be referred to by the same search term,https://en.wikipedia.org/wiki/Set,Q235028,2020-05-30 20:45:25,2020-05-30 20:45:25
Numeral system,Notation for expressing numbers,https://en.wikipedia.org/wiki/Numeral_system,Q122653,2020-05-30 20:45:25,2020-05-30 20:45:25
Cognitive dissonance,"Psychological stress experienced by an individual who holds two or more contradictory beliefs, ideas, or values at the same time",https://en.m.wikipedia.org/wiki/Cognitive_dissonance,Q209722,2020-05-30 20:45:25,2020-05-30 20:45:25
Web standards,Technical standard,https://en.m.wikipedia.org/wiki/Web_standards,Q1153289,2020-05-30 20:45:25,2020-05-30 20:45:25
Absurdism,"Conflict between the human tendency to seek inherent value and meaning in life and the human inability to find any in a purposeless, meaningless or chaotic and irrational universe",https://en.wikipedia.org/wiki/Absurdism,Q333625,2020-05-30 20:45:25,2020-05-30 20:45:25
Reciprocity,Disambiguation page providing links to topics that could be referred to by the same search term,https://en.wikipedia.org/wiki/Reciprocity_,Q1350049,2020-05-30 20:45:25,2020-05-30 20:45:25
Attachment theory,Psychological ethological theory about human relationships,https://en.wikipedia.org/wiki/Attachment_theory,Q909609,2020-05-30 20:45:25,2020-05-30 20:45:25
Coordinate system,System for determining the position of a point by a tuple of scalars,https://en.wikipedia.org/wiki/Coordinate_system,Q11210,2020-05-30 20:45:25,2020-05-30 20:45:25
Single point of failure,"A part of a system that, if it fails, will stop the entire system from working",https://en.wikipedia.org/wiki/Single_point_of_failure,Q1363179,2020-05-30 20:45:25,2020-05-30 20:45:25
Curse of knowledge,Cognitive bias of assuming that others have the same background to understand,https://en.m.wikipedia.org/wiki/Curse_of_knowledge,Q2901014,2020-05-30 20:45:25,2020-05-30 20:45:25
Champurrado,Mexican chocolate beverage,https://en.wikipedia.org/wiki/Champurrado,Q2955932,2020-05-30 20:45:25,2020-05-30 20:45:25
Populism,"Political philosophy that supports needs and desires of ""the people"" over those of ""the powerful.""",https://en.wikipedia.org/wiki/Populism,Q180490,2020-05-30 20:45:25,2020-05-30 20:45:25
Determinism,The philosophical belief that all events are determined completely by previously existing causes,https://en.wikipedia.org/wiki/Determinism,Q131133,2020-05-30 20:45:25,2020-05-30 20:45:25
Shavasana,relaxed reclining posture in hatha yoga,https://en.wikipedia.org/wiki/Shavasana,Q2019129,2020-05-30 20:45:25,2020-05-30 20:45:25
Post hoc ergo propter hoc,Fallacy of assumption of causality based on sequence of events,https://en.wikipedia.org/wiki/Post_hoc_ergo_propter_hoc,Q732404,2020-05-30 20:45:25,2020-05-30 20:45:25
Category theory,Branch of mathematics,https://en.wikipedia.org/wiki/Category_theory,Q217413,2020-05-30 20:45:25,2020-05-30 20:45:25
Epigenetics,study of heritable DNA and histone modifications that affect the expression of a gene without a change in its nucleotide sequence.,https://en.m.wikipedia.org/wiki/Epigenetics,Q26939,2020-05-30 20:45:25,2020-05-30 20:45:25
Latinx,U.S. gender-neutral term for people of Latin American heritage,https://en.wikipedia.org/wiki/Latinx,Q30324002,2020-05-30 20:45:25,2020-05-30 20:45:25
Anti,Disambiguation page providing links to topics that could be referred to by the same search term,https://en.wikipedia.org/wiki/Anti,Q346504,2020-05-30 20:45:25,2020-05-30 20:45:25
Social democracy,political ideology within the socialist movement,https://en.wikipedia.org/wiki/Social_democracy,Q121254,2020-05-30 20:45:25,2020-05-30 20:45:25
XY Problem,,https://en.wikipedia.org/wiki/XY_problem,,2020-07-20 03:50:39,2020-07-20 03:50:39
Dead Cat Strategy,,https://en.wikipedia.org/wiki/Dead_cat_strategy,,2020-08-10 05:34:06,2020-08-10 05:34:06
Hispanic Paradox,,https://en.wikipedia.org/wiki/Hispanic_paradox,,2020-08-17 03:21:40,2020-08-17 03:21:40
Hegra (Mada'in Salih),,https://en.wikipedia.org/wiki/Hegra_(Mada'in_Salih),,2020-08-17 03:22:22,2020-08-17 03:22:22
Wowser,,https://en.wikipedia.org/wiki/Wowser,,2020-08-17 07:16:43,2020-08-17 07:16:43
Benford's Law,,https://en.wikipedia.org/wiki/Benford's_law,,2020-08-17 07:17:08,2020-08-17 07:17:08
"Volatility, uncertainty, complexity and ambiguity",,"https://en.wikipedia.org/wiki/Volatility,_uncertainty,_complexity_and_ambiguity",,2020-08-17 23:37:29,2020-08-17 23:37:29
Meisner technique,,https://en.wikipedia.org/wiki/Meisner_technique,,2020-09-08 20:55:40,2020-09-08 20:55:40
Jonah complex,,https://en.wikipedia.org/wiki/Jonah_complex,,2020-09-13 01:17:07,2020-09-13 01:17:07
Superior orders,,https://en.wikipedia.org/wiki/Superior_orders,,2020-09-17 01:33:53,2020-09-17 01:33:53
Antifeminism,,https://en.wikipedia.org/wiki/Antifeminism,,2020-10-11 23:52:13,2020-10-11 23:52:13
Modern Monetary Theory,,https://en.wikipedia.org/wiki/Modern_Monetary_Theory,,2020-10-15 06:15:55,2020-10-15 06:15:55
Locus ofcontrol,,https://en.wikipedia.org/wiki/Locus_of_control,,2020-10-21 21:37:53,2020-10-21 21:37:53
Locus of control,,https://en.wikipedia.org/wiki/Locus_of_control,,2020-10-21 21:37:54,2020-10-21 21:37:54
Self-efficacy,,https://en.wikipedia.org/wiki/Self-efficacy,,2020-10-21 21:38:06,2020-10-21 21:38:06
Acceptance and commitment therapy,,https://en.wikipedia.org/wikiAcceptance_and_commitment_therapy,,2020-10-21 21:38:29,2020-10-21 21:38:29
Reification fallacy,,https://en.wikipedia.org/wiki/Reification_(fallacy),,2020-10-21 21:38:57,2020-10-21 21:38:57
Realpolitik,,https://en.wikipedia.org/wiki/Realpolitik,,2020-11-11 08:50:12,2020-11-11 08:50:12
Stockdale Paradox,,https://en.wikipedia.org/wiki/James_Stockdale#The_Stockdale_Paradox,,2020-12-15 09:45:10,2020-12-15 09:45:10
Overton Window,,https://en.wikipedia.org/wiki/Overton_window,,2020-12-15 09:45:30,2020-12-15 09:45:30
Shouting fire in a crowded theatre,,https://en.wikipedia.org/wiki/Shouting_fire_in_a_crowded_theater,,2020-12-16 20:06:22,2020-12-16 20:06:22
Doublespeak,,https://en.wikipedia.org/wiki/Doublespeak,,2021-01-26 06:51:04,2021-01-26 06:51:04
Vulture_fund,,https://en.wikipedia.org/wiki/Vulture_fund,,2021-01-28 21:06:33,2021-01-28 21:06:33
Copypasta,,https://en.wikipedia.org/wiki/Copypasta,,2021-01-30 11:00:10,2021-01-30 11:00:10
Fremantle Doctor,,https://en.wikipedia.org/wiki/Fremantle_Doctor,,2021-02-20 00:07:43,2021-02-20 00:07:43
Matthew Effect,,https://en.wikipedia.org/wiki/Matthew_effect,,2021-04-11 08:42:01,2021-04-11 08:42:01
Homesteading,,https://en.wikipedia.org/wiki/Homesteading,,2021-04-13 01:24:06,2021-04-13 01:24:06
S.C.A.M.P.E.R,,https://en.wikipedia.org/wiki/S.C.A.M.P.E.R,,2021-04-15 01:50:27,2021-04-15 01:50:27
Time based currency,,https://en.wikipedia.org/wiki/Time-based_currency,,2021-04-20 03:47:02,2021-04-20 03:47:02
Yerkes Dodson law,,https://en.wikipedia.org/wiki/Yerkes–Dodson_law,,2021-04-29 03:58:48,2021-04-29 03:58:48
Affirmative action,,https://en.wikipedia.org/wiki/Affirmative_action,,2021-09-18 23:22:38,2021-09-18 23:22:38
Vassal state,,https://en.wikipedia.org/wiki/Vassal_state,,2021-09-18 23:23:00,2021-09-18 23:23:00
Time Immemorial,,https://en.wikipedia.org/wiki/Time_immemorial,,2021-09-18 23:24:48,2021-09-18 23:24:48
Griot,,https://en.wikipedia.org/wiki/Griot,,2021-09-18 23:25:18,2021-09-18 23:25:18
Quisling,,https://en.wikipedia.org/wiki/Quisling,,2021-09-18 23:28:01,2021-09-18 23:28:01
Dada,,https://en.wikipedia.org/wiki/Dada,,2021-09-18 23:29:25,2021-09-18 23:29:25
Nullarbor Nymph,,https://en.wikipedia.org/wiki/Nullarbor_Nymph,,2021-09-18 23:32:44,2021-09-18 23:32:44
No True Scotsman,,https://en.wikipedia.org/wiki/No_true_Scotsman,,2021-09-18 23:33:33,2021-09-18 23:33:33
Electric Ant,,https://en.wikipedia.org/wiki/Electric_ant,,2021-09-18 23:33:51,2021-09-18 23:33:51
Human rights in Australia,,https://en.wikipedia.org/wiki/Human_rights_in_Australia,,2021-09-18 23:34:09,2021-09-18 23:34:09
Mas que Nada,,https://en.wikipedia.org/wiki/Mas_que_Nada,,2021-09-18 23:34:27,2021-09-18 23:34:27