title,url,inserted_at,wikidata_id,description
Mdadm,https://en.wikipedia.org/wiki/Mdadm,2018-06-30 10:33:40,Q286836,
Metcalfe,https://en.wikipedia.org/wiki/Metcalfe,2018-06-19 23:16:34,Q421244,Disambiguation page providing links to topics that could be referred to by the same search term
Triplestore,https://en.wikipedia.org/wiki/Triplestore,2017-08-16 23:42:41,Q3539533,
Partial application,https://en.wikipedia.org/wiki/Partial_application,2016-12-11 02:44:55,Q7140358,
Letter and spirit of the law,https://en.wikipedia.org/wiki/Letter_and_spirit_of_the_law,2018-05-16 07:24:50,Q6533542,Concepts in philosophy of law
Site Reliability Engineering,https://en.wikipedia.org/wiki/Site_Reliability_Engineering,2018-12-17 01:36:39,Q56351687,
Decision theory,https://en.wikipedia.org/wiki/Decision_theory,2017-06-07 02:30:23,Q177571,
Visual thinking,https://en.wikipedia.org/wiki/Visual_thinking,2017-06-01 12:12:50,Q7328862,
Incentive,https://en.wikipedia.org/wiki/Incentive,2017-05-30 08:23:28,Q1414816,
Value engineering,https://en.wikipedia.org/wiki/Value_engineering,2017-05-28 06:59:05,Q1067270,
Folk devil,https://en.wikipedia.org/wiki/Folk_devil,2017-05-28 00:46:57,Q5464460,A person or group of people who are portrayed in folklore or the media as outsiders and deviant
No zuo no die,https://en.wikipedia.org/wiki/No_zuo_no_die,2018-05-01 04:55:07,Q28133948,
Technology adoption life cycle,https://en.wikipedia.org/wiki/Technology_adoption_life_cycle,2017-05-22 01:08:28,Q7692587,
Slavoj Žižek,https://en.wikipedia.org/wiki/Slavoj_%C5%BDi%C5%BEek,2017-05-13 12:44:01,Q184750,Slovene philosopher
Type inference,https://en.wikipedia.org/wiki/Type_inference,2017-05-11 04:32:02,Q586459,
Working memory,https://en.wikipedia.org/wiki/Working_memory,2017-05-11 01:12:55,Q11337567,Cognitive system for temporarily holding information
Set,https://en.wikipedia.org/wiki/Set,2017-05-10 09:06:28,Q235028,Disambiguation page providing links to topics that could be referred to by the same search term
Shuhari,https://en.wikipedia.org/wiki/Shuhari,2016-11-16 02:24:53,Q2915391,
Nag Champa,https://en.wikipedia.org/wiki/Nag_Champa,2018-09-29 07:17:28,Q899767,
Valence effect,https://en.wikipedia.org/wiki/Valence_effect,2017-04-20 23:00:12,Q7910633,
Why–because analysis,https://en.wikipedia.org/wiki/Why%E2%80%93because_analysis,2016-05-04 04:34:27,Q7997953,
Coordinate system,https://en.wikipedia.org/wiki/Coordinate_system,2017-05-11 11:12:15,Q11210,System for determining the position of a point by a tuple of scalars
Genetic fallacy,https://en.wikipedia.org/wiki/Genetic_fallacy,2018-04-05 01:03:49,Q1202868,
Doppelganger Week,https://en.wikipedia.org/wiki/Doppelganger_Week,2018-03-07 08:03:51,Q4139004,
Active imagination,https://en.wikipedia.org/wiki/Active_imagination,2018-03-04 06:18:02,Q935990,
Post hoc ergo propter hoc,https://en.wikipedia.org/wiki/Post_hoc_ergo_propter_hoc,2017-04-10 12:11:29,Q732404,Fallacy of assumption of causality based on sequence of events
Thomas Hobbes,https://en.wikipedia.org/wiki/Thomas_Hobbes,2017-03-28 10:28:53,Q37621,17th-century English philosopher
White flight,https://en.wikipedia.org/wiki/White_flight,2017-03-27 11:57:15,Q2989605,
Neoliberalism,https://en.wikipedia.org/wiki/Neoliberalism,2017-03-27 11:56:02,Q162719,Political philosophy that supports economic liberalization
Crony capitalism,https://en.wikipedia.org/wiki/Crony_capitalism,2018-01-29 08:23:52,Q2937479,
Effective altruism,https://en.wikipedia.org/wiki/Effective_altruism,2018-01-25 23:52:40,Q13489381,Philosophy and social movement that applies evidence and reason to determine the most effective ways to benefit others
Not invented here,https://en.wikipedia.org/wiki/Not_invented_here,2016-06-17 09:25:02,Q1782368,
Syd Mead,https://en.wikipedia.org/wiki/Syd_Mead,2017-03-06 11:51:34,Q940474,American concept artist
Social stratification,https://en.wikipedia.org/wiki/Social_stratification,2017-02-28 12:22:14,Q841628,population with similar characteristics in a society
Disinformation,https://en.wikipedia.org/wiki/Disinformation,2017-02-24 00:10:35,Q189656,False information spread deliberately to deceive
Psychometrics,https://en.wikipedia.org/wiki/Psychometrics,2017-02-24 00:08:38,Q506132,theory and technique of psychological measurement
Numeral system,https://en.wikipedia.org/wiki/Numeral_system,2017-11-02 05:57:48,Q122653,Notation for expressing numbers
Magic Quadrant,https://en.wikipedia.org/wiki/Magic_Quadrant,2015-09-02 23:12:55,Q17157268,
Abstract syntax tree,https://en.wikipedia.org/wiki/Abstract_syntax_tree,2015-08-04 22:52:29,Q127380,
Constructive dismissal,https://en.wikipedia.org/wiki/Constructive_dismissal,2016-05-19 11:42:06,Q429010,
Single point of failure,https://en.wikipedia.org/wiki/Single_point_of_failure,2016-05-04 03:59:54,Q1363179,"A part of a system that, if it fails, will stop the entire system from working"
Pushd and popd,https://en.wikipedia.org/wiki/Pushd_and_popd,2016-04-29 11:07:33,Q7261779,
Gossip protocol,https://en.wikipedia.org/wiki/Gossip_protocol,2016-03-25 08:30:53,Q5587504,
Category theory,https://en.wikipedia.org/wiki/Category_theory,2016-01-14 05:42:27,Q217413,Branch of mathematics
Stilyagi,https://en.wikipedia.org/wiki/Stilyagi,2016-01-12 10:20:33,Q4442617,
Optimistic concurrency control,https://en.wikipedia.org/wiki/Optimistic_concurrency_control,2016-08-09 04:13:37,Q1779327,
Processing fluency,https://en.wikipedia.org/wiki/Processing_fluency,2016-07-25 00:57:10,Q1530468,
Dagen H,https://en.wikipedia.org/wiki/Dagen_H,2016-07-03 22:32:27,Q376921,
Dancing mania,https://en.wikipedia.org/wiki/Dancing_mania,2016-06-19 03:39:14,Q2140711,
Conflict,https://en.wikipedia.org/wiki/Conflict_,2017-10-14 22:36:34,Q400889,Disambiguation page providing links to topics that could be referred to by the same search term
Epistemology,https://en.wikipedia.org/wiki/Epistemology,2017-10-01 02:22:29,Q9471,Branch of philosophy concerned with the nature and scope of knowledge
Decision model,https://en.wikipedia.org/wiki/Decision_model,2017-08-16 21:39:45,Q5249242,
Community of practice,https://en.wikipedia.org/wiki/Community_of_practice,2017-08-08 04:29:56,Q936635,
Attribution bias,https://en.wikipedia.org/wiki/Attribution_bias,2017-08-08 03:19:13,Q849538,The systematic errors made when people evaluate their own and others' behaviors
PDCA,https://en.wikipedia.org/wiki/PDCA,2017-08-07 04:12:33,Q820214,
Literate programming,https://en.wikipedia.org/wiki/Literate_programming,2017-06-11 09:31:04,Q607703,
Synaptic pruning,https://en.wikipedia.org/wiki/Synaptic_pruning,2017-06-10 23:16:23,Q2124069,Process of synapse elimination that occurs between early childhood and the onset of puberty
Systems theory,https://en.wikipedia.org/wiki/Systems_theory,2016-12-08 19:48:52,Q269699,Interdisciplinary study of systems
Social proof,https://en.wikipedia.org/wiki/Social_proof,2017-01-21 05:34:32,Q2993355,
Ben Franklin effect,https://en.wikipedia.org/wiki/Ben_Franklin_effect,2017-01-16 22:52:41,Q4885677,
Mortality salience,https://en.wikipedia.org/wiki/Mortality_salience,2017-01-15 23:50:51,Q3072626,
Mortality salience,https://en.wikipedia.org/wiki/Mortality_salience,2017-01-15 23:50:51,Q3072626,
Lovecraftian horror,https://en.wikipedia.org/wiki/Lovecraftian_horror,2017-01-11 20:47:17,Q2448865,
Status quo bias,https://en.wikipedia.org/wiki/Status_quo_bias,2016-12-20 10:59:59,Q29598,
Flow,https://en.wikipedia.org/wiki/Flow_,2016-12-10 23:04:10,Q8961886,Disambiguation page providing links to topics that could be referred to by the same search term
Unit testing,https://en.wikipedia.org/wiki/Unit_testing,2016-11-20 23:11:25,Q907375,Software testing method by which individual units of source code are validated
Presumption of innocent,https://en.wikipedia.org/wiki/List_of_legal_Latin_terms,2017-11-26 22:47:57,Q59583297,
Dying and rising god (mono myth),https://en.wikipedia.org/wiki/Dying,2016-07-20 09:31:01,Q642405,
Gaslighting,https://en.wikipedia.org/wiki/Mental_abuse,2016-07-06 21:07:49,Q1225041,
The Magical Number Seven,https://en.wikipedia.org/wiki/The_Magical_Number_Seven,2016-12-20 10:44:05,Q30053794,
Two Sided Network,https://en.wikipedia.org/wiki/Two,2016-12-01 12:13:48,Q2031007,
Cognitive dissonance,https://en.m.wikipedia.org/wiki/Cognitive_dissonance,2017-09-02 22:54:05,Q209722,"Psychological stress experienced by an individual who holds two or more contradictory beliefs, ideas, or values at the same time"
Curse of knowledge,https://en.m.wikipedia.org/wiki/Curse_of_knowledge,2017-03-10 05:17:33,Q2901014,Cognitive bias of assuming that others have the same background to understand
Dreyfus model of skill acquisition,https://en.m.wikipedia.org/wiki/Dreyfus_model_of_skill_acquisition,2017-09-26 11:44:18,Q5307365,
Epigenetics,https://en.m.wikipedia.org/wiki/Epigenetics,2017-08-29 23:50:49,Q26939,study of heritable DNA and histone modifications that affect the expression of a gene without a change in its nucleotide sequence.
FIDO Alliance,https://en.m.wikipedia.org/wiki/FIDO_Alliance,2016-10-03 10:55:42,Q15731702,Industry consortium working on authentication mechanisms
Fashion forecasting,https://en.m.wikipedia.org/wiki/Fashion_forecasting,2016-10-16 00:23:41,Q5436769,
German Question,https://en.m.wikipedia.org/wiki/German_Question,2019-02-09 14:36:26,Q13522713,Mid-19th century debate about unification of Germany
Hemingway Special,https://en.m.wikipedia.org/wiki/Hemingway_Special,2019-04-19 04:57:03,Q26879521,"Cocktail made of rum, maraschino, grapefruit juice, and lime juice"
Implementation intention,https://en.m.wikipedia.org/wiki/Implementation_intention,2016-10-11 11:55:27,Q1364123,
Jonah complex,https://en.m.wikipedia.org/wiki/Jonah_complex,2018-05-04 15:29:32,Q11741965,
Knowledge gap hypothesis,https://en.m.wikipedia.org/wiki/Knowledge_gap_hypothesis,2017-04-18 22:20:24,Q1481327,
Positive psychology,https://en.m.wikipedia.org/wiki/Positive_psychology,2016-12-04 21:45:31,Q718809,Scientific study of the positive aspects of the human experience that make life worth living
Reactance (psychology),https://en.m.wikipedia.org/wiki/Reactance_(psychology),2018-05-17 06:49:59,Q746935,unpleasant emotion experienced when behavioral freedom is threatened
Self-knowledge (psychology),https://en.m.wikipedia.org/wiki/Self-knowledge_(psychology),2017-07-04 22:59:38,Q1527275,
Stanford marshmallow experiment,https://en.m.wikipedia.org/wiki/Stanford_marshmallow_experiment,2016-08-31 10:46:55,Q1523836,Study on delayed gratification by psychologist Walter Mischel
The Emperor's New Clothes,https://en.m.wikipedia.org/wiki/The_Emperor's_New_Clothes,2019-06-23 13:13:18,Q11866,Fairytale by Hans Christian Andersen
Tuckman's stages of group development,https://en.m.wikipedia.org/wiki/Tuckman%27s_stages_of_group_development,2019-01-31 21:44:27,Q1393955,
Web standards,https://en.m.wikipedia.org/wiki/Web_standards,2017-06-19 14:20:20,Q1153289,Technical standard
Champurrado,https://en.wikipedia.org/wiki/Champurrado,2019-05-14 05:35:32,Q2955932,Mexican chocolate beverage
Damerau–Levenshtein distance,https://en.wikipedia.org/wiki/Damerau%E2%80%93Levenshtein_distance,2018-02-03 21:25:52,Q2657425,
Latinx,https://en.wikipedia.org/wiki/Latinx,2020-05-07 14:13:26,Q30324002,U.S. gender-neutral term for people of Latin American heritage
Max Müller,https://en.wikipedia.org/wiki/Max_M%C3%BCller,2018-08-24 21:18:57,Q55068911,German-born philologist and orientalist
P versus NP problem,https://en.wikipedia.org/wiki/P_versus_NP_problem,2018-03-04 06:15:09,Q746242,Unsolved problem in computer science
Sacred geometry,https://en.wikipedia.org/wiki/Sacred_geometry,2018-09-21 07:03:28,Q583915,Symbolic and sacred meanings ascibed to certain geometric shapes
The Third Wave (experiment),https://en.wikipedia.org/wiki/The_Third_Wave_(experiment),2018-07-13 02:56:52,Q1059204,
Nicene Creed,https://en.wikipedia.org/wiki/Nicene_Creed,2018-12-11 16:34:53,Q207937,Statement of belief adopted at the First Ecumenical Council in 325
Enneagram of Personality,https://en.wikipedia.org/wiki/Enneagram_of_Personality,2018-11-26 05:28:40,Q273047,Of Oscar Ichazo and Claudio Naranjo
Kano model,https://en.wikipedia.org/wiki/Kano_model,2018-06-06 23:01:38,Q1068173,
Mean time between failures,https://en.wikipedia.org/wiki/Mean_time_between_failures,2017-05-11 01:08:42,Q754940,
Growth hacking,https://en.wikipedia.org/wiki/Growth_hacking,2018-05-01 22:51:04,Q15896029,
Scientific method,https://en.wikipedia.org/wiki/Scientific_method,2017-05-11 01:22:05,Q46857,"Interplay between observation, experiment and theory in science"
Theory of constraints,https://en.wikipedia.org/wiki/Theory_of_constraints,2017-04-26 04:50:21,Q956095,
Mental model,https://en.wikipedia.org/wiki/Mental_model,2017-04-24 08:41:27,Q1851867,Explanation of someone's thought process about how something works in the real world
Classical test theory,https://en.wikipedia.org/wiki/Classical_test_theory,2018-03-04 06:18:50,Q389391,
Absurdism,https://en.wikipedia.org/wiki/Absurdism,2017-04-17 05:48:23,Q333625,"Conflict between the human tendency to seek inherent value and meaning in life and the human inability to find any in a purposeless, meaningless or chaotic and irrational universe"
Populism,https://en.wikipedia.org/wiki/Populism,2018-01-29 08:27:09,Q180490,"Political philosophy that supports needs and desires of ""the people"" over those of ""the powerful."""
Anti,https://en.wikipedia.org/wiki/Anti,2017-12-01 08:21:31,Q346504,Disambiguation page providing links to topics that could be referred to by the same search term
Big Five personality traits,https://en.wikipedia.org/wiki/Big_Five_personality_traits,2017-02-24 00:09:08,Q378132,Personality model consisting of five broad dimensions of personality
2 + 2 = 5,https://en.wikipedia.org/wiki/2_%2B_2_%3D_5,2016-11-10 03:08:14,Q1097227,Example of Party logic presented in Nineteen Eighty-Four
Project Cybersyn,https://en.wikipedia.org/wiki/Project_Cybersyn,2016-11-02 23:36:58,Q1147211,Chilean economic project
Tab stop,https://en.wikipedia.org/wiki/Tab_stop,2016-10-31 08:42:01,Q3515540,
Hyman Minsky,https://en.wikipedia.org/wiki/Hyman_Minsky,2016-10-25 20:55:36,Q704076,
Conway's law,https://en.wikipedia.org/wiki/Conway%27s_law,2016-10-20 02:06:25,Q1518855,Adage stating that organizations design systems that mirror their own communication structure
Electronic data interchange,https://en.wikipedia.org/wiki/Electronic_data_interchange,2016-10-14 13:47:55,Q690189,
Fractional Reserve Banking,https://en.wikipedia.org/wiki/Fractional,2016-10-31 10:50:24,Q123642,
Allegory of the Cave,http://en.m.wikipedia.org/wiki/Allegory_of_the_Cave,2015-03-18 13:19:16,Q22738,
Law of thought,https://en.m.wikipedia.org/wiki/Law_of_thought#The_three_traditional_laws,2017-06-12 07:00:12,Q1187945,
List,https://en.wikipedia.org/wiki/List_,2015-08-04 22:57:45,Q162032,Disambiguation page providing links to topics that could be referred to by the same search term
Bus factor,https://en.wikipedia.org/wiki/Bus_factor,2016-05-04 03:58:59,Q1812883,A measurement of the risk of losing key technical experts
Volstead Act,https://en.wikipedia.org/wiki/Volstead_Act,2016-01-12 10:17:26,Q1613068,An act to prohibit intoxicating beverages in the USA
Reciprocity,https://en.wikipedia.org/wiki/Reciprocity_,2017-09-12 20:54:32,Q1350049,Disambiguation page providing links to topics that could be referred to by the same search term
Determinism,https://en.wikipedia.org/wiki/Determinism,2017-09-03 23:45:54,Q131133,The philosophical belief that all events are determined completely by previously existing causes
Social democracy,https://en.wikipedia.org/wiki/Social_democracy,2017-06-12 09:53:41,Q121254,political ideology within the socialist movement
Critical thinking,https://en.wikipedia.org/wiki/Critical_thinking,2017-06-07 02:41:24,Q843894,The analysis of facts to form a judgment
SOLID,https://en.wikipedia.org/wiki/SOLID,2016-12-21 05:26:49,Q2583627,Object-oriented programming design principles
Flynn effect,https://en.wikipedia.org/wiki/Flynn_effect,2016-11-28 08:49:59,Q508736,20th century rise in overall human intelligence
First,https://en.wikipedia.org/wiki/First,2016-11-08 11:03:17,Q351401,Disambiguation page providing links to topics that could be referred to by the same search term
Data mapping,https://en.wikipedia.org/wiki/Data_mapping,2016-10-14 14:03:30,Q2330408,
